;Bergen;Stockholm;Benmore;Edinburgh;Dublin;Bedgebury;Munich;Salzburg;Geneva;Ljubljana;Podgorica;Pontevedra;Tirana;Cordoba
2014-02-21;3,739999916;1,539999966;4,219999906;3,719999917;4,969999889;6,889999846;4,499999899;5,459999878;4,92999989;5,769999871;9,059999797;7,019999843;9,889999779;9,769999782
2014-02-22;4,509999899;3,419999924;5,489999877;4,92999989;7,16999984;7,969999822;3,809999915;3,219999928;3,819999915;3,819999915;7,739999827;10,55999976;8,999999799;8,279999815
2014-02-23;6,359999858;5,289999882;7,739999827;7,669999829;7,759999827;9,309999792;4,559999898;4,199999906;5,039999887;3,919999912;5,669999873;12,20999973;8,909999801;11,37999975
2014-02-24;6,809999848;5,579999875;5,399999879;4,959999889;7,319999836;9,899999779;3,849999914;4,799999893;3,899999913;4,809999892;4,969999889;9,779999781;7,569999831;10,55999976
2014-02-25;7,739999827;3,249999927;6,439999856;5,969999867;6,859999847;9,209999794;5,219999883;5,759999871;4,969999889;3,989999911;4,769999893;9,219999794;5,889999868;9,069999797
2014-02-26;6,369999858;1,859999958;6,319999859;5,919999868;6,899999846;7,339999836;5,539999876;5,339999881;3,729999917;6,359999858;4,619999897;8,51999981;6,879999846;10,67999976
2014-02-27;5,709999872;2,079999954;5,36999988;4,889999891;6,029999865;7,859999824;4,659999896;3,609999919;3,089999931;6,229999861;4,509999899;12,08999973;6,909999846;9,029999798
2014-02-28;4,729999894;2,389999947;4,629999897;3,769999916;5,589999875;5,059999887;5,459999878;4,619999897;3,10999993;4,289999904;4,789999893;10,02999978;7,14999984;10,77999976
2014-03-01;3,089999931;1,749999961;3,189999929;2,389999947;4,4899999;5,649999874;2,739999939;2,859999936;3,13999993;5,639999874;4,289999904;10,28999977;7,399999835;11,87999973
2014-03-02;3,259999927;2,009999955;3,859999914;3,519999921;6,169999862;5,479999878;2,959999934;3,059999932;4,259999905;5,149999885;4,049999909;10,17999977;6,999999844;14,44999968
2014-03-03;5,82999987;2,609999942;3,649999918;3,939999912;3,909999913;6,179999862;3,609999919;4,189999906;3,309999926;5,309999881;4,269999905;8,659999806;5,929999867;11,03999975
2014-03-04;5,969999867;3,049999932;3,999999911;3,429999923;6,459999856;6,349999858;3,739999916;4,289999904;3,389999924;5,919999868;3,839999914;8,989999799;7,499999832;10,06999977
2014-03-05;5,519999877;2,309999948;4,569999898;3,749999916;6,519999854;6,839999847;3,979999911;3,879999913;5,309999881;8,369999813;4,289999904;11,29999975;7,429999834;13,4899997
